"gene","dispGeneEst","dispFit","dispMAP","dispersion"
"gene_0",0.119821331830101,0.0772643816209759,0.113364788629324,0.119821331830101
"gene_1",0.129846536904764,0.094307872453113,0.124542781783115,0.124542781783115
"gene_2",0.0521643542510949,0.0598331387045998,0.0521034806881554,0.0521034806881554
"gene_3",0.0477646774791709,0.0508991359534798,0.0476194874207011,0.0476194874207011
"gene_4",0.0927250878286637,0.107739389874601,0.0952375646851955,0.0952375646851955
"gene_5",0.0762638780695587,0.0754463666650136,0.0766559583068234,0.0766559583068234
"gene_6",0.052611733622535,0.0552446423793805,0.0523023036856761,0.0523023036856761
"gene_7",0.0806424431678176,0.0911281869256664,0.0815589598350638,0.0815589598350638
"gene_8",0.931965790990485,0.776096439677864,0.90414551161739,0.90414551161739
"gene_9",0.0844598091031729,0.0856374450602386,0.0846163734116029,0.0846163734116029
"gene_10",0.042415887808917,0.0517879419172471,0.0423190492830796,0.0423190492830796
"gene_11",0.0606367842445468,0.0728599031004058,0.0611204866397438,0.0611204866397438
"gene_12",0.078486424453035,0.060470518806085,0.0759745195093378,0.0759745195093378
"gene_13",0.0301533067051607,0.0578245716057806,0.0330565314661365,0.0330565314661365
"gene_14",0.419109972655903,0.288678256543591,0.397599591833276,0.397599591833276
"gene_15",0.0555963602641608,0.0534919683598158,0.0531860574450197,0.0531860574450197
"gene_16",0.282065575213612,0.277775773275244,0.281367414546726,0.281367414546726
"gene_17",0.526762183938228,0.432674206008143,0.510449759774741,0.510449759774741
"gene_18",0.0516407876061017,0.0524695285826956,0.0520353587440925,0.0520353587440925
"gene_19",0.15316500125815,0.120559485458393,0.148122377852309,0.148122377852309
"gene_20",0.0679438886166357,0.0664464145093517,0.0683248323689984,0.0683248323689984
"gene_21",0.0529665395076702,0.053253563389255,0.0534551714668263,0.0534551714668263
"gene_22",0.0751012933705491,0.0815392876890459,0.0759682288349663,0.0759682288349663
"gene_23",0.901342692992798,0.883930818705737,0.898784920195346,0.898784920195346
