"gene","Intercept","condition_treated_vs_control"
"gene_0",3.98620692731861,-3.0506526542566
"gene_1",5.87776231930232,0.173881406739084
"gene_2",7.77183899704124,0.0157287507250165
"gene_3",6.41770293419248,0.676744224656084
"gene_4",6.14155268821828,0.0213528337066934
"gene_5",2.8530552811477,-1.631683286441
"gene_6",4.62107629977855,0.817696485094445
"gene_7",3.49992928175632,0.541977269155794
"gene_8",8.40505323389624,0.817071702447999
"gene_9",8.37046616036069,-2.18402811194274
"gene_10",11.7624161873026,0.0935620315532184
"gene_11",6.51717283138958,1.46448953937955
"gene_12",10.0190069053218,0.105954843948934
"gene_13",6.48873599360795,-0.593561561973474
"gene_14",2.74722325865002,-0.633453886802894
"gene_15",8.49246974319908,1.92371357940376
"gene_16",5.5588467561333,0.237104294483517
"gene_17",4.97836049154949,1.81728339481817
"gene_18",5.02909155589419,-0.170015193016334
"gene_19",10.3643581177071,0.500286856885747
"gene_20",11.6744632287397,0.0552775334298528
"gene_21",10.4178365452295,-2.36186826170468
"gene_22",6.54822006553964,0.833291682581878
"gene_23",3.5552606253816,0.112766526987979
"gene_24",8.2382514353441,1.06779830291375
"gene_25",10.4640224474663,-0.0579564411602452
"gene_26",9.81020746055372,-0.413456620681452
"gene_27",8.33136159333362,-1.08870173060073
"gene_28",7.68268689631666,0.680507842009981
"gene_29",5.0567111838006,-1.41688940038434
"gene_30",8.89323572739803,-0.51364989353114
"gene_31",7.26235229669487,-0.126455015812915
"gene_32",7.69396963172411,-0.665185491101525
"gene_33",6.92721560391687,0.0151283395797714
"gene_34",4.27830161616992,-0.381332662467732
"gene_35",5.18515751867379,0.158104486106661
"gene_36",9.59639776500648,-0.117442905880811
"gene_37",7.07353853495513,2.355671291928
"gene_38",7.37010873967546,-1.88521454292198
"gene_39",6.57763126252524,0.144995236636155
"gene_40",11.2625137626843,0.109201125702966
"gene_41",7.2957338268307,2.12802850118225
"gene_42",8.0963676687377,0.992753301539068
"gene_43",7.73249591840843,0.763544574834167
"gene_44",3.97311586880012,0.664478223095232
"gene_45",7.16312763884049,-0.0622731494636646
"gene_46",10.980331971474,-0.215818401572842
"gene_47",8.6266524806895,0.183697688956699
"gene_48",4.16987281413509,0.263670473263159
"gene_49",7.1497514715582,0.743844221118161
"gene_50",8.8312369561953,-0.773391933274404
"gene_51",6.92556400964289,-1.94578639067778
"gene_52",9.55625009412572,-2.00630312099677
"gene_53",6.65247700164937,-1.46222010053768
"gene_54",3.96141798863361,0.176378963524946
"gene_55",9.54776746508046,-0.284678829172318
"gene_56",8.0528618420443,0.984408290707267
"gene_57",8.84706521919562,2.11110026459714
"gene_58",10.378529170906,0.88449953298338
"gene_59",7.78497505866614,0.974988717008767
"gene_60",2.89076638713147,-2.71547691606104
"gene_61",7.66848124612731,0.232228576064149
"gene_62",2.16138589110206,1.28039383341639
"gene_63",5.79468518240276,-0.180585286789848
"gene_64",9.93588728567441,0.131459766017656
"gene_65",1.81752781216203,-0.311254808851361
"gene_66",7.75556864751137,-2.00194791224062
"gene_67",5.83840896725913,1.42361078635911
"gene_68",6.49324944548229,-0.207200546721363
"gene_69",9.9879774833948,0.417345667555809
"gene_70",8.68730491483177,-0.866128974737087
"gene_71",10.9988531194523,-1.92403550424568
"gene_72",3.47043258864973,1.04114250952131
"gene_73",5.21916816258007,0.365624658931928
"gene_74",5.37030744901011,0.838379123424818
"gene_75",6.914565244412,0.235448954051256
"gene_76",4.57755971205892,-0.477542176137877
"gene_77",5.06704211776449,-1.84683771292847
"gene_78",4.80527096632242,-1.32816684377949
"gene_79",8.94082503384318,-0.100448590578881
"gene_80",8.76750301554191,2.06593196172532
"gene_81",10.1465741233242,-0.35922593718464
"gene_82",12.4590596189844,-0.154728002658711
"gene_83",6.61035365971623,-1.61456529972678
"gene_84",9.24813943998093,-0.217629179676659
"gene_85",12.6246675841585,-1.12826836808812
"gene_86",9.0093220298649,-0.238292301739902
"gene_87",7.39883441679194,1.90637385805452
"gene_88",4.15201754740659,-1.83280564685989
"gene_89",5.87137304996437,0.93327050148432
"gene_90",3.26456790094267,-0.226941311294399
"gene_91",3.6120194743449,-2.53493614105352
"gene_92",6.07798424265507,0.326151591122937
"gene_93",8.50280936083668,-0.0863197275090495
"gene_94",7.48219317279892,0.103510033350823
"gene_95",6.29983098997178,-1.82909109247769
